,id,name
0,atl-hip-hop,atl hip hop
1,hip-hop,hip hop
2,pop-rap,pop rap
3,rap,rap
4,trap,trap
5,melodic-rap,melodic rap
6,philly-rap,philly rap
7,canadian-hip-hop,canadian hip hop
8,canadian-pop,canadian pop
9,toronto-rap,toronto rap
10,canadian-contemporary-r-b,canadian contemporary r&b
11,pop,pop
12,electro,electro
13,filter-house,filter house
14,dance-pop,dance pop
15,edm,edm
16,electropop,electropop
17,pop-dance,pop dance
18,tropical-house,tropical house
19,etherpop,etherpop
20,indie-poptimism,indie poptimism
21,mississippi-hip-hop,mississippi hip hop
22,southern-hip-hop,southern hip hop
23,dirty-south-rap,dirty south rap
24,gangster-rap,gangster rap
25,alternative-r-b,alternative r&b
26,virginia-hip-hop,virginia hip hop
27,underground-hip-hop,underground hip hop
28,viral-rap,viral rap
29,afro-dancehall,afro dancehall
30,afropop,afropop
31,azonto,azonto
32,nigerian-hip-hop,nigerian hip hop
33,nigerian-pop,nigerian pop
34,uk-funky,uk funky
35,portland-hip-hop,portland hip hop
36,electronic-trap,electronic trap
37,detroit-hip-hop,detroit hip hop
38,ohio-hip-hop,ohio hip hop
39,post-teen-pop,post-teen pop
40,uk-pop,uk pop
41,pop-rock,pop rock
42,conscious-hip-hop,conscious hip hop
43,west-coast-rap,west coast rap
44,san-diego-rap,san diego rap
45,north-carolina-hip-hop,north carolina hip hop
46,lgbtq--hip-hop,lgbtq+ hip hop
47,nyc-rap,nyc rap
48,chicago-rap,chicago rap
49,new-orleans-rap,new orleans rap
50,pop-edm,pop edm
51,complextro,complextro
52,electro-house,electro house
53,german-techno,german techno
54,alt-z,alt z
55,hip-pop,hip pop
56,queens-hip-hop,queens hip hop
57,viral-pop,viral pop
58,dutch-edm,dutch edm
59,progressive-house,progressive house
60,girl-group,girl group
61,talent-show,talent show
62,r-b,r&b
63,trap-soul,trap soul
64,modern-rock,modern rock
65,rock,rock
66,barbadian-pop,barbadian pop
67,urban-contemporary,urban contemporary
68,house,house
69,uk-dance,uk dance
70,indie-electropop,indie electropop
71,atl-trap,atl trap
72,slap-house,slap house
73,social-media-pop,social media pop
74,australian-dance,australian dance
75,australian-pop,australian pop
76,moombahton,moombahton
77,art-pop,art pop
78,danish-pop,danish pop
79,viral-trap,viral trap
80,aussietronica,aussietronica
81,melbourne-bounce,melbourne bounce
82,british-soul,british soul
83,pop-soul,pop soul
84,neo-soul,neo soul
85,adult-standards,adult standards
86,motown,motown
87,soul,soul
88,dancehall,dancehall
89,classic-soul,classic soul
90,funk,funk
91,indie-r-b,indie r&b
92,northern-soul,northern soul
93,quiet-storm,quiet storm
94,pittsburgh-rap,pittsburgh rap
95,modern-alternative-rock,modern alternative rock
96,stomp-pop,stomp pop
97,dmv-rap,dmv rap
98,colombian-pop,colombian pop
99,latin,latin
100,latin-pop,latin pop
101,reggaeton,reggaeton
102,reggaeton-colombiano,reggaeton colombiano
103,trap-latino,trap latino
104,indietronica,indietronica
105,indie-pop-rap,indie pop rap
106,oakland-hip-hop,oakland hip hop
107,vapor-trap,vapor trap
108,hyphy,hyphy
109,norwegian-pop,norwegian pop
110,escape-room,escape room
111,new-rave,new rave
112,big-room,big room
113,classic-rock,classic rock
114,glam-rock,glam rock
115,dfw-rap,dfw rap
116,boy-band,boy band
