,name
0,voice
1,piano
2,guitar
3,drum
4,drum kit
5,bass guitar
6,keyboard instrument
7,banjo
8,ukulele
9,electric guitar
10,acoustic guitar
11,upright piano
12,singing
13,sampler
14,synthesizer
15,electronic keyboard
16,recorder
17,saxophone
18,percussion instrument
19,FL Studio
20,trumpet
21,harmonica
22,beatboxing
23,backing vocalist
24,cajón
25,drum machine
26,musical keyboard
27,viola
28,tambourine
29,programming
30,modular synthesizer
31,cello
32,violin
33,MIDI keyboard
34,digital audio workstation
35,Hammond organ
36,electric bass guitar
37,lyric soprano
38,bass
39,mixing console
40,Marcodi
41,effects unit
42,mandolin
43,accordion
44,Bajo sexto
45,flute
46,electronic musical instrument
47,percussionist
48,Ableton Live
49,vocalist
50,disc jockey
51,singer
52,tenor
53,diatonic button accordion
54,bongo drum
55,autoharp
56,trombone
57,organ
58,lute
59,harp
60,clarinet
61,xylophone
62,conga
63,lyric tenor
64,keytar
65,12-string guitar
66,vocal music
67,pipe organ
68,phonograph
69,ARP Omni
70,guzheng
71,pipa
72,erhu
73,ney
74,acoustic-electric guitar
75,DJ
76,Western concert flute
77,Akai MPC
78,bouzouki
79,Logic Pro
80,Pro Tools
81,bağlama
82,Amazon rainforest
83,Jazz piano
84,Brass
85,music sequencer
86,jarana huasteca
87,chitarrone
88,vocal
89,harmonium
90,Тамбурин
91,melodica
92,tenor saxophone
93,soprano saxophone
94,percussion
95,tuba
96,bagpipes
97,oboe
98,horn
99,double bass
100,bassoon
101,baritone
102,hulusi
103,The Guitar
104,hurdy-gurdy
105,bandolin
106,flugelhorn
107,Guitarrón chileno
108,ARP 2500
109,rhythm guitar
110,lyric spinto tenor
111,Decks
112,alto saxophone
113,slide guitar
114,triangle
115,castanets
116,friction drum
117,harpsichord
118,bass clarinet
119,baritone saxophone
120,fortepiano
121,sitar
122,fiddle
123,clavinet
124,kora
125,classical guitar
126,transverse flute
127,claves
128,Gibson ES-335
129,Fender Telecaster
130,Fender Stratocaster
131,kantele
132,Wurlitzer electric piano
133,tubular bells
134,Appalachian dulcimer
135,Rickenbacker 360
136,Gibson Les Paul
137,Fender Jag-Stang
138,Richter-tuned harmonica
139,cornet
140,kazoo
141,Pikasso I
142,mbira
143,garmon
144,record-player
145,sampling
146,pedal steel guitar
147,glockenspiel
148,multi-instrumentalist
149,Practice pad
150,tin whistle
151,Guitar and Drum
152,art
153,chromatic button accordion
154,sets of free reeds
155,Young Plan
156,tololoche
157,Jarana
158,steel guitar
159,composer
160,live looping
161,palmas
162,Bajo quinto
163,shamisen
164,cuatro
165,soprano
166,acoustic bass guitar
167,Linn LM-1
168,Omnichord
169,vibraphone
170,piano accordion
171,marimba
172,charango
173,physical object
174,Guitarra
175,timbales
176,timpani
177,mezzo-soprano
178,steel-string acoustic guitar
179,electronic drum
180,Vocals
181,shekere
182,uilleann pipes
183,turntabler
184,Rhodes piano
185,mellotron
186,Minimoog
187,theremin
188,Chapman Stick
189,Apple Macintosh
190,lap steel guitar
191,contralto
192,Gibson SG
193,glove
194,football boots
195,Cavaquinho
