,id,name,surname,birthdate,deathdate,nationality,artist,complete_name,entity_name,gender,recordLabels,instruments
0,Q48719890,Khari Khari,Ball,1994-06-18,,US,6oMuImdp5ZcFhWP0ESe6mG,Kirshnik Khari Ball,Takeoff,male,"Q55316128,Q43327,Q193023,Q16206954,Q202440",voice
1,Q30072039,Quavious Keyate,Marshall,1991-04-02,,US,6oMuImdp5ZcFhWP0ESe6mG,Quavious Keyate Marshall,Quavo,male,"Q55316128,Q43327,Q193023,Q16206954,Q202440",
2,Q30612480,Kiari Kendrell,Cephus,1991-12-14,,US,6oMuImdp5ZcFhWP0ESe6mG,Kiari Kendrell Cephus,Offset,male,"Q55316128,Q43327,Q193023,Q16206954,Q202440",voice
3,Q23771950,Symere Bysil,Woods,1995-07-31,,US,4O15NlyKLIASxsJ0PrXPfz,Symere Bysil Wood,Lil Uzi Vert,male,"Q202440,Q1194456",voice
4,Q33240,Aubrey Drake,Graham,1986-10-24,,CA,3TVXtAsR1Inumwj472S9r4,Aubrey Drake Graham,Drake,male,"Q16070339,Q1070152,Q1047366,Q4413456,Q4005789",
5,Q2121062,Abel,Makkonen Tesfaye,1990-02-16,,CA,1Xyo4u8uXC1ZmMpatF05PJ,Abel Makkonen Tesfaye,The Weeknd,male,"Q4413456,Q23045455","piano,voice"
6,Q471656,Thomas,Bangalter,1975-01-03,,FR,4tZwfgrHOc3mvqYlEYSvVi,,Thomas Bangalter,male,"Q847971,Q203059,Q183387,Q54860",guitar
7,Q471650,Guillaume Emmanuel,de Homem Christo,1974-02-08,,FR,4tZwfgrHOc3mvqYlEYSvVi,Guillaume Emmanuel de Homem-Christo,Guy-Manuel de Homem-Christo,male,"Q847971,Q203059,Q183387,Q54860",voice
8,Q48774228,Andrew,Taggart,,,US,69GGBxA162lTqCwzJG5jLp,,Andrew Taggart,male,Q183387,
9,Q48774469,Alex,Pall,,,US,69GGBxA162lTqCwzJG5jLp,,Alex Pall,male,Q183387,
10,Q18534249,Ashley Nicolette,Frangipane,1994-09-29,,US,26VFTg2z8YR0cCuwLzESi2,Ashley Nicolette Frangipane,Halsey,female,"Q1200368,Q193023,Q13218788",voice
11,Q31401627,Aaquil,Brown,1991-12-29,,US,7iZtZyCzp3LItcw1wtPI3D,Aaquil Iben Shamon Brown,Slim Jxmmi,male,"Q231694,Q44120211",
12,Q30103025,Khalif Malik Ibn Shaman,Brown,1993-06-07,,US,7iZtZyCzp3LItcw1wtPI3D,Khalif Malik Ibn Shaman Brown,Swae Lee,male,"Q231694,Q44120211",voice
13,Q44120002,Lil,Pantz,,,,7iZtZyCzp3LItcw1wtPI3D,,Lil Pantz,,"Q231694,Q44120211",
14,Q44120074,BoBo,Swae,1901,,,7iZtZyCzp3LItcw1wtPI3D,,BoBo Swae,male,"Q231694,Q44120211",
15,Q206032,Radric Delantic,Davis,1980-02-12,,US,13y7CgLHjMVRMDqxdx0Xdo,Radric Delantic Davis,Gucci Mane,male,"Q202440,Q4546285,Q1998195,Q1644016",
16,Q25138504,Shelley,Massenburg Smith,1988-08-03,,US,5M0lbkGluOPXLeFjApw8r8,,Shelley FKA DRAM,male,Q202440,voice
17,Q23772141,Miles,McCollum,1997-08-23,,US,6icQOAFXDZKsumw3YXyusw,Miles Parks McCollum,Lil Yachty,male,"Q55316128,Q2937480,Q43327",voice
18,Q16233663,Ayodeji,Ibrahim Balogun,1990-07-16,,NG,3tVQdUvClmAT7URs9V3rsp,Ayodeji Ibrahim Balogun,Wizkid,male,Q202585,voice
19,Q153234,Kyla,,1981-01-05,,PH,77DAFfvm3O9zT5dIoG0eIO,,Kyla,female,Q4667782,voice
20,Q27830860,Adam Aminé,Daniel,1996-04-18,,US,3Gm5F95VdRxW3mqCn8RPBJ,Adam Aminé Daniel,Aminé,male,Q4413456,voice
21,Q16728588,William,Sami Grigahcine,1986-06-13,,,540vIaP2JwjQb9dm3aArA4,William Sami Grigahcine,DJ Snake,male,"Q231694,Q155152,Q212699,Q15116528,Q2310883,Q183387",
22,Q34086,Justin Drew,Bieber,1994-03-01,,CA,1uNFoZAHBGtllmzznpCI3s,Justin Drew Bieber,Justin Bieber,male,"Q190585,Q601227,Q7432151,Q654283","voice,drum,guitar,piano"
23,Q367634,Sean Michael Leonard,Anderson,1988-03-25,,US,0c173mlxpT3dSFRgMO8XPh,Sean Michael Leonard Anderson,Big Sean,male,"Q654283,Q1142456,Q1194456",voice
24,Q1450,Peter Gene,Hernandez,1985-10-08,,US,0du5cEVh5yTK9QJze8zA0C,Peter Gene Hernandez,Bruno Mars,male,"Q202440,Q43327,Q4005789,Q726251","drum kit,piano,bass guitar,keyboard instrument,guitar,voice"
25,Q1354843,Robert,Baker,1990-04-22,,US,6TIYQ3jFPwQSRmorSezPxX,Robert Colson Baker,Machine Gun Kelly,male,"Q798658,Q231694","voice,piano,drum kit,guitar"
26,Q18810940,Karla Camila,Cabello,1997-03-03,,CU,4nDoRrQiYLoBzwC5BhVJzF,Karla Camila Cabello Estrabao,Camila Cabello,female,"Q216364,Q7659636",guitar
27,Q25095399,Shéyaa Bin,Abraham Joseph,1992-10-22,,GB,1URnnhqYAYcrqrcwql10ft,Shéyaa Bin Abraham-Joseph,21 Savage,male,"Q216364,Q106253837",voice
28,Q16235273,Leland Tyler,Wayne,1993-09-16,,US,0iEtIxbK0KxaSlF7G42ZOp,Leland Tyler Wayne,Metro Boomin,male,"Q216364,Q4413456",keyboard instrument
29,Q3445057,Nayvadius DeMun,Wilburn,1983-11-20,,US,1RyvyyTE3xzB2ZywiAwp0i,Nayvadius DeMun Wilburn,Future,male,"Q16993809,Q216364,Q80186545","voice,keyboard instrument"
30,Q3626950,Zain Javad,Malik,1993-01-12,,GB,5ZsFI1h6hIdQRw2ti0hz81,Zain Javadd Malik,Zayn Malik,male,"Q7659636,Q183387,Q202585",voice
31,Q26876,Taylor Alison,Swift,1989-12-13,,US,06HL4z0CvFAxyc27GXpf02,Taylor Alison Swift,Taylor Swift,female,"Q2902300,Q4413456","banjo,guitar,piano,ukulele,voice,drum,electric guitar,acoustic guitar,upright piano"
32,Q219631,Adam,Levine,1979-03-18,,US,04gDigrS5kc9YWfZHwBETP,Adam Noah Levine,Adam Levine,male,"Q277626,Q645889","bass guitar,guitar,piano,voice"
33,Q459375,Jesse,Carmichael,1979-04-02,,US,04gDigrS5kc9YWfZHwBETP,,Jesse Carmichael,male,"Q277626,Q645889","keyboard instrument,voice"
34,Q1200118,Michael,Madden,1979-05-13,,US,04gDigrS5kc9YWfZHwBETP,,Mickey Madden,male,"Q277626,Q645889","bass guitar,guitar"
35,Q445136,James,Valentine,1978-10-05,,US,04gDigrS5kc9YWfZHwBETP,,James Valentine,male,"Q277626,Q645889",guitar
36,Q736673,Ryan,Dusick,1977-09-19,,US,04gDigrS5kc9YWfZHwBETP,,Ryan Dusick,male,"Q277626,Q645889",drum kit
37,Q1200152,Matt,Flynn,1970-05-23,,US,04gDigrS5kc9YWfZHwBETP,,Matt Flynn,male,"Q277626,Q645889",drum kit
38,Q130798,Kendrick Lamar,Duckworth,1987-06-17,,US,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar Duckworth,Kendrick Lamar,male,"Q16957703,Q231694,Q389284","voice,singing"
39,Q27443345,Jaylen,Robinson,1995-01-25,,US,2hWs22BmQkK4czFtDLnar2,,Rob Stone,male,,
40,cbf9887f-222b-4154-aaac-a80363320a3c,J.,Davi$,,,,1rs3y69kDwkIdGJcOYngQt,,J. Davi$,,,
41,810a70e4-c9a9-4dab-bd66-11171afe7141,Hypno,,,,,5ewJHfiGNQJjmKHzLjcojz,,Hypno,,,
42,d70d05a6-a679-4e2f-a696-63d18be169c9,Booka,T,,,,5ewJHfiGNQJjmKHzLjcojz,,Booka T,,,
43,4db91bd9-6d2f-4728-b23b-f574fb5a2ab5,Water,Water,,,,5ewJHfiGNQJjmKHzLjcojz,,Water Water,,,
44,2bc9e425-5a95-45bc-bb0e-ebaace08c330,Ming,Xia,,,US,5ewJHfiGNQJjmKHzLjcojz,,Ming Xia,,,
45,Q204018,Jermaine Lamarr,Cole,1985-01-28,,US,6l3HvQ5sa6mXTsMTB19rO5,Jermaine Lamarr Cole,J Cole,male,"Q18352611,Q1194456,Q231694,Q183387,Q330629",voice
46,Q27458833,Young,M.A,1992-04-03,,US,7LvoDJUNGnOrPdGRzVtOJ9,,Young M.A,female,,voice
47,Q12470060,Johnathan Chancellor,Bennett,1993-04-16,,US,1anyVhU62p31KFi8MEzkbf,Chancellor Johnathan Bennett,Chance the Rapper,male,,"piano,voice"
48,Q15615,Dwayne Michael,Carter,1982-09-27,,US,55Aa2cqylxrFIXC767Z865,Dwayne Michael Carter Jr.,Lil Wayne,male,"Q1070152,Q4413456,Q38903,Q1047366",voice
49,Q129668,Tauheed,Epps,1977-09-12,,US,17lzZA2AlOHwCwFALHttmp,Tauheed Epps,2 Chainz,male,"Q1142456,Q654283,Q38903","sampler,drum kit,synthesizer"
50,Q231726,Hailee,Steinfeld,1996-12-11,,US,5p7f24Rk5HkUZsaS3BLG5F,,Hailee Steinfeld,female,Q4413456,voice
51,8dd51778-5fba-4f75-99d3-bc3b27513aab,Grey,,1965-09-10,,US,4lDBihdpMlOalxy1jkUbPl,,Grey,,,
52,Q21088,Anton,Zaslavsky,1989-09-02,,RU,2qxJFvFYMEDqd7ui6kSAcq,,Zedd,male,"Q231694,Q21090",electronic keyboard
53,Q21005558,Grace Martine,Tandon,1998-10-24,,US,6Dd3NScHWwnW6obMFbl1BH,Grace Martine Tandon,Daya,female,,"voice,guitar,ukulele,piano,recorder,saxophone"
54,Q151892,Ariana,Grande-Butera,1993-06-26,,US,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande-Butera,Ariana Grande,female,"Q4413456,Q38903","guitar,piano,voice,percussion instrument"
55,Q162202,Onika Tanya,Maraj Petty,1982-12-08,,TT,0hCNtLu0JehylgoiP8L4Gh,Onika Tanya Maraj,Nicki Minaj,female,"Q1047366,Q4413456,Q1070152",voice
56,Q17198340,Shawn Peter Raul,Mendes,1998-08-08,,CA,7n2wHs1TKAczGzO7Dd2rGr,Shawn Peter Raul Mendes,Shawn Mendes,male,"Q190585,Q38903","guitar,piano,voice,keyboard instrument"
57,Q14544318,Martijn Gerard,Garritsen,1996-05-14,,NL,60d24wfXkVzDSfLS6hyCjZ,Martijn Gerard Garritsen,Martin Garrix,male,"Q2310883,Q4413456,Q38903,Q330629,Q23008275","electronic keyboard,FL Studio,guitar,piano"
58,Q16185856,Bebe,Rexha,1989-08-30,,US,64M6ah0SkkRsnPGtGiRAbb,Bleta Rexha,Bebe Rexha,female,"Q947109,Q2291171,Q843402,Q23008275,Q208909,Q64485314","guitar,trumpet,piano,voice,harmonica"
59,Q43432,Justin Randall,Timberlake,1981-01-31,,US,31TPClRtHm23RisEBtV3X7,Justin Randall Timberlake,Justin Timberlake,male,"Q202585,Q27184,Q219112,Q1076747","piano,voice,singing,guitar,keyboard instrument,beatboxing"
60,Q18810940,Karla Camila,Cabello,1997-03-03,,CU,1l8Fu6IkuTP0U5QetQJ5Xt,Karla Camila Cabello Estrabao,Camila Cabello,female,"Q216364,Q7659636",guitar
61,Q22965780,Allyson Brooke,Hernández,1993-07-07,,US,1l8Fu6IkuTP0U5QetQJ5Xt,,Ally Brooke,female,"Q216364,Q7659636",voice
62,Q18921974,Lauren Michelle,Jáuregui,1996-06-27,,US,1l8Fu6IkuTP0U5QetQJ5Xt,Lauren Michelle Jauregui Morgado,Lauren Jauregui,female,"Q216364,Q7659636",voice
63,Q28148022,Normani Kordei,Hamilton,1996-05-31,,US,1l8Fu6IkuTP0U5QetQJ5Xt,Normani Kordei Hamilton,Normani,female,"Q216364,Q7659636",voice
64,Q28065951,Dinah Jane,Hansen,1997-06-22,,US,1l8Fu6IkuTP0U5QetQJ5Xt,Dinah Jane Hansen,Dinah Jane,female,"Q216364,Q7659636",voice
65,Q7859785,Tyrone William,Griffin,1982-04-13,,US,7c0XG5cIJTrrAgEC3ULPiq,Tyrone William Griffin Jr.,Ty Dolla $ign,male,"Q947422,Q202440","voice,guitar,keyboard instrument,sampler,bass guitar,drum kit"
66,Q17306112,Tyler Robert,Joseph,1988-12-01,,US,3YQKmKGau1PzlVlkL1iodx,,Tyler Joseph,male,Q1046066,"piano,drum kit,ukulele,keyboard instrument,bass guitar,voice"
67,Q17305889,William Joshua,Dun,1988-06-18,,US,3YQKmKGau1PzlVlkL1iodx,Joshua William Dun,Joshua Dun,male,Q1046066,"drum kit,trumpet,backing vocalist,cajón"
68,Q36844,Robyn Rihanna,Fenty,1988-02-20,,BB,5pKCCKE2ajJHZ9KAiaK11H,Robyn Rihanna Fenty,Rihanna,female,"Q654283,Q44120426,Q1194456",guitar
69,Q81637,Adam Richard,Wiles Harris,1984-01-17,,,7CajNmpbOovFoOoasH2HaY,Adam Richard Wiles,Calvin Harris,male,"Q183387,Q330629,Q183412,Q16838702","synthesizer,voice,bass guitar,piano,guitar"
70,Q717626,James,Arthur,1988-03-02,,GB,4IWBUUAFIplrNtaOHcJPRM,James Andrew Arthur,James Arthur,male,Q7659636,"drum kit,guitar,voice"
71,Q24450730,Phoebe,Ryan,1990-09-21,,US,4N874uPqBka1QiCvnCVOtr,,Phoebe Ryan,female,Q183387,voice
72,Q15637814,Jeffery Lamar,Williams,1991-08-16,,US,50co4Is1HCEo8bhOyUWKpn,Jeffery Lamar Williams,Young Thug,male,"Q202440,Q16206954,Q4546285,Q1047366,Q65120473",voice
73,Q13605596,Jacques,Webster,1991-04-30,,US,0Y5tJX1MQlPlqiwlOH1tJY,Jacques Bermon Webster II,Travis Scott,male,"Q1153338,Q216364,Q56160091,Q1142456","voice,drum machine,musical keyboard,synthesizer,sampler"
74,Q28606665,Kyle Thomas,Harvey,1993-05-18,,US,4qBgvVog0wzW75IQ48mU7v,Kyle Thomas Harvey,Kyle,male,Q202440,voice
75,Q181484,Sia,Furler,1975-12-18,,AU,5WUlDfRSoLAfcVSX1WnrxN,Sia Kate Isobelle Furler,Sia,female,Q1200368,"voice,singing"
76,Q533781,Thomas Wesley,Pentz,1978-11-10,,US,738wLrAtLtCtFOLvQBXOXp,Thomas Wesley Pentz,Diplo,male,"Q231694,Q1759608,Q15116528","bass guitar,keyboard instrument,piano,synthesizer"
77,Q20684243,Jillionaire,,1978-04-03,,TT,738wLrAtLtCtFOLvQBXOXp,,Jillionaire,male,"Q231694,Q1759608,Q15116528",
78,Q3101707,Switch,,2000,,GB,738wLrAtLtCtFOLvQBXOXp,,Switch,male,"Q231694,Q1759608,Q15116528",
79,Q10670047,Karen Marie,Ørsted,1988-08-13,,DK,0bdfiayQAKewqEvaU6rXCv,,MØ,female,Q202585,"piano,voice,singing"
80,Q23091498,Sidney,Royel Selby III,1997-05-03,,US,7pFeBzX627ff0VnN6bxPR4,Sidney Royel Selby III,Desiigner,male,"Q1142456,Q654283",drum
81,Q20090091,Alessia,Caracciolo,1996-07-11,,CA,2wUjUUtkb5lvLKcGKsKqsR,Alessia Caracciolo,Alessia Cara,female,"Q654283,Q29096957","guitar,ukulele,voice,keyboard instrument,piano"
82,Q28054068,Starley,,1987-10-03,,AU,02A3cEvlLLCbIMVDrK2GHV,,Starley,female,,voice
83,Q42224112,Ryan,Riback,1981-09-19,,,33JQK4UoS2aMPYBfdB5Ftt,,Ryan Riback,male,,
84,Q23215,Adele Laurie Blue,Adkins,1988-05-05,,GB,4dpARuHxo51G3z768sgnrY,Adele Laurie Blue Adkins,Adele,female,"Q1123947,Q183387,Q56760250","guitar,piano,drum kit,bass guitar,trumpet,viola,voice"
85,Q44857,John Roger,Stephens,1978-12-28,,US,5y2Xq6xcjJb2jVM54GHK3t,John Roger Stephens,John Legend,male,"Q1142456,Q56760250,Q183387","piano,voice,singing"
86,Q55859289,Zay,Hilfigerrr,,,,7nKeLE1toRtW4M279iS26h,,Zay Hilfigerrr,,,
87,Q55859293,Zayion,McCall,,,,7nKeLE1toRtW4M279iS26h,,Zayion McCall,,,
88,Q55859289,Zay,Hilfigerrr,,,,5AsWcQXw4RJFRWBbwa0ti0,,Zay Hilfigerrr,,,
89,Q55859293,Zayion,McCall,,,,5AsWcQXw4RJFRWBbwa0ti0,,Zayion McCall,,,
