,id,name,country
0,Q55316128,Quality Control Music,US
1,Q43327,Motown,US
2,Q193023,Capitol Records,US
3,Q16206954,300 Entertainment,US
4,Q202440,Atlantic Records,US
5,Q1194456,Roc Nation,US
6,Q16070339,OVO Sound,CA
7,Q1070152,Young Money Entertainment,US
8,Q1047366,Cash Money Records,US
9,Q4413456,Republic Records,US
10,Q4005789,Universal Motown Records,US
11,Q23045455,XO,CA
12,Q847971,Soma Quality Recordings,GB
13,Q203059,Virgin Records,GB
14,Q183387,Columbia Records,US
15,Q54860,Walt Disney Records,US
16,Q1200368,Astralwerks,US
17,Q13218788,Virgin EMI Records,GB
18,Q231694,Interscope Records,US
19,Q44120211,Ear Drummer Records,
20,Q4546285,1017 Records,US
21,Q1998195,Asylum Records,US
22,Q1644016,Tommy Boy Records,US
23,Q2937480,Capitol Music Group,US
24,Q202585,RCA Records,US
25,Q4667782,Star Music,PH
26,Q155152,Polydor Records,GB
27,Q212699,Geffen Records,US
28,Q15116528,Mad Decent,US
29,Q2310883,Spinnin' Records,NL
30,Q190585,Island Records,JM
31,Q601227,RBMG Records,US
32,Q7432151,School Boy Records,US
33,Q654283,Def Jam Recordings,US
34,Q1142456,GOOD Music,US
35,Q726251,Elektra,US
36,Q798658,Bad Boy Records,US
37,Q216364,Epic Records,US
38,Q7659636,Syco Music,GB
39,Q106253837,Slaughter Gang,US
40,Q16993809,Freebandz,US
41,Q80186545,A1 Recordings,US
42,Q2902300,Big Machine Records,US
43,Q277626,A&M Records,US
44,Q645889,Reprise Records,US
45,Q16957703,Top Dawg Entertainment,US
46,Q389284,Aftermath Entertainment,US
47,Q18352611,Dreamville Records,US
48,Q330629,Sony Music,
49,Q38903,Universal Music Group,US
50,Q21090,OWSLA,US
51,Q23008275,STMPD RCRDS,NL
52,Q947109,The Island Def Jam Music Group,US
53,Q2291171,DCD2 Records,US
54,Q843402,Warner Bros. Records,US
55,Q208909,Parlophone,GB
56,Q64485314,Warner Records,US
57,Q27184,Jive Records,US
58,Q219112,Zomba Group of Companies,US
59,Q1076747,Tennman Records,US
60,Q947422,Taylor Gang Entertainment,US
61,Q1046066,Fueled by Ramen,US
62,Q44120426,Westbury Road Entertainment,
63,Q183412,EMI,GB
64,Q16838702,Fly Eye Records,GB
65,Q65120473,YSL Records,US
66,Q1153338,Grand Hustle Records,US
67,Q56160091,Cactus Jack Records,US
68,Q1759608,Secretly Canadian,US
69,Q29096957,EP Entertainment,US
70,Q1123947,XL Recordings,GB
71,Q56760250,Sony Music,US
72,Q3972237,Steeltown Records,US
73,Q31839,Philadelphia International Records,US
74,Q1703395,Dim Mak Records,US
75,Q664167,Arista,US
76,Q3001888,Sony BMG,US
77,Q2358400,Legacy Recordings,US
78,Q21077,Warner Music Group,US
79,Q17985937,Black Butter Records,GB
80,Q1190562,VP Records,US
81,Q1250403,Scepter Records,US
82,Q4010207,Rostrum Records,US
83,Q19880695,KIDinaKORNER,US
84,Q55315890,Visionary Music Group,US
